author,published_at,updated_at,like_count,text
@SARAHLROSADOPEREZ-lj4xw,2023-08-05T07:32:40Z,2023-08-05T07:32:40Z,7,❤❤❤❤Como Puerto Rico  ama estos dos maestros de la musica.   Bravo😊😊😊😊😊😊😊😊😊😊 PUERTO RICO 🎉🎉🎉🎉🎉🎉🎉🎉
@LatinMusica-nq7fd,2024-01-06T04:43:53Z,2024-01-06T04:43:53Z,5,Soy Argentino y me encanta esta clase de musica adoro la cultura de mexico me acuerdo que cuando era chico los escuchaba por mis viejos y ahora que soy mas grande los escucho por gusto y placer que buena musica tiene bronco y julieta ni hablar de lo hermosa que es ella y su voz
@Mejores_Canciones999,2023-11-15T01:04:11Z,2023-11-15T01:04:11Z,8,"Cuando estás feliz disfrutas de la música, pero cuando estás triste entiendes la letra."
@countrymusic28322,2023-03-31T09:45:41Z,2023-03-31T09:45:41Z,15,"A cualquiera que esté leyendo esto, le pido que mejore lo que sea que lo esté lastimando o lo que sea que lo estrese constantemente. Que los pensamientos oscuros, el pensamiento excesivo y la duda salgan de tu mente. Que la claridad reemplace la confusión. Que la paz y la tranquilidad llenen tu vida. 🙏"
@recuerdosmusica102,2024-01-24T06:49:20Z,2024-01-24T06:49:20Z,1,Tiempos que siempre recordaré cuándo llegaban los juegos a la población y de noche lo pasábamos súper escuchando estás hermosas canciones y nos henamorabamos todas las noches
@BaladasDelRecuerdo2952,2023-05-22T06:42:04Z,2023-05-22T06:42:04Z,7,"A la persona que este leyendo esto que dios te cuide, te ilumine, y que dios te bendiga a ti y a tu familia toda la vida y eternidad"
@olgarivera9147,2023-07-29T14:04:35Z,2023-07-29T14:04:35Z,1,BORICUAAA Hasta en la Luna. Graciassss Dios por yo haber nacido en esta bendita Tierra. PuertoRico ❤❤❤❤
@user-vn7fk8wj5d,2023-08-20T06:26:06Z,2023-08-20T06:26:06Z,2,Marc Anthony and Daddy Yankee I am so proud of both of you for showing latinos have talent.
@Tropciales_de_Jenny,2023-07-12T15:05:02Z,2023-07-12T15:05:02Z,5,"Quiero decirle a la persona que esté leyendo este mensaje, que le deseo una buena vida, bendiciones, paz y armonia, que sepas que te mereces lo mejor, que tu eres lo mejor...🌹🌹🙏🙏🙏"
@julymedina4943,2023-12-24T14:44:43Z,2023-12-24T14:44:43Z,1,"Un mix musical super cool, bailando y disfrutando, saludos desde Perú. 👍👍🎶🎶👍👍"
@Puppydaisy55439,2023-12-31T16:52:38Z,2023-12-31T16:52:38Z,1,"Me encanta esta musica, mark y daddy sigan asi❤❤"
@yureidyhernandez3530,2021-12-05T17:35:20Z,2021-12-05T17:35:20Z,6,Al final siempre terminas enamorándote de la persona equivocada cupido 💘 es un niño travieso que lanza flechas sin apuntar 😂🥰😘
@latinomusic1767,2022-11-28T13:10:50Z,2022-11-28T13:10:50Z,3,Dos de los grandes...👍❤❤❤❤ ....Daddy Yankee y Marc Antony...bueno en fin todos son buenos..
@carmenajuria6270,2023-05-10T15:00:57Z,2023-05-10T15:00:57Z,2,Por dios q cantantes da gusto  escucharlos nos alegra  mucho nos dan alegría  todas sus canciones son hermosas bendiciones
@rossycorazon4568,2024-01-25T20:34:34Z,2024-01-25T20:34:34Z,0,Una Ecuatoriana en London 💃🏻💃🏻💃🏻💃🏻🥰🥰🕺🏻💃🏻🎼🎼🇬🇧🇬🇧🥳🥳
@esnayperezalonso6198,2022-12-04T23:55:10Z,2022-12-04T23:55:10Z,9,"Excelentes 👌 temas para un rato de relax, saludos desde CUBA💯💪👍"
@user-cg5ry3uw7j,2023-10-22T17:38:53Z,2023-10-22T17:38:53Z,2,Puerto Rico...🇵🇷...la llave de salsa y el regueton....
@edmondmaxau3351,2023-12-24T12:40:56Z,2023-12-24T12:40:56Z,1,saludos desde chile 🇨🇱
@telmogarcia4289,2023-10-12T22:20:54Z,2023-10-12T22:20:54Z,1,Como peruano amo la mucica la salsa la Bchata el Rok el regeton imuho más la mucica es mi pacion ❤❤
@ladiosao7984,2023-07-31T05:40:18Z,2023-07-31T05:40:18Z,3,Excelente música...inmejorables interpretes.🎉
@OrestesRodriguez-gg9cs,2024-02-02T00:06:42Z,2024-02-02T00:06:42Z,0,Todo el que este con esta musica dios lo vendiga especialmente a la artemiseña estrellita dias
@neryvictoriamark8090,2021-10-31T20:06:31Z,2021-10-31T20:14:01Z,13,Dos de los grandes...👍❤❤❤❤ ....Daddy Yankee y Marc Antony...bueno en fin todos son buenos...❤💚
@user-si7oj9xk2x,2023-10-20T19:07:58Z,2023-10-20T19:07:58Z,1,Que  viva Colombia y su Musica
@jimmycab5386,2023-05-12T03:59:44Z,2023-05-12T03:59:44Z,0,Es lo mejor de estes genero x daddy y marc antoni saludos y un fuerte abrazo x ellos
@elmercruz5442,2023-03-28T18:24:58Z,2023-03-28T18:24:58Z,1,"Buena combinación  , Salsa [ ritmo Cubano ] y las voces Boricuas."
@reflexionesdeldiaGR,2024-01-03T15:39:24Z,2024-01-03T15:39:24Z,0,me   encanta   saludos  desde    colomia
@Puppydaisy55439,2023-12-31T16:52:59Z,2023-12-31T16:52:59Z,1,2024 y esta joya sigue siendo viral❤🎉
@baladas_romanticas,2022-12-21T05:12:52Z,2022-12-21T05:12:52Z,0,Viva México ching... 🇲🇽🍻🍺🍻 Ya saquen el cartón!!!
@user-zx6lg9pg6s,2023-06-18T14:25:38Z,2023-06-18T14:25:38Z,0,Pienso que ustedes dos son los mejores del mundo
@gianpieromanzoni4056,2023-08-10T10:40:10Z,2023-08-10T10:40:10Z,1,Un saluto e un abbraccio forte ❤😊🎉da Piero GPM.
@marilureal359,2021-07-05T13:30:40Z,2021-07-05T13:30:40Z,24,Excelente Mix 👌 muchas gracias y bendiciones 🙏
@Jose34abc,2023-11-05T18:51:45Z,2023-11-05T18:51:45Z,0,Sigue así Kraft 🇨🇴🇮🇨
